epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.4097,1.1279,1.77247,1.30976,0.84331,0.78902,0.87745,0.70761,1.04271,1.19791,1.1909,0.000554359,0.000554359,0.000554359
2,55.337,1.09288,1.26452,1.28036,0.86717,0.80559,0.88232,0.71876,1.13956,1.04499,1.24417,0.00108805,0.00108805,0.00108805
3,80.8423,1.05923,1.16618,1.26589,0.90186,0.8364,0.90669,0.74565,1.0619,0.89984,1.2105,0.00159973,0.00159973,0.00159973
4,106.284,1.02304,1.10747,1.25329,0.90475,0.86119,0.92259,0.77736,0.959,0.83316,1.1501,0.00156798,0.00156798,0.00156798
5,131.327,0.9807,1.04721,1.22715,0.92744,0.87217,0.93897,0.7884,0.96011,0.79735,1.12099,0.00153497,0.00153497,0.00153497
6,155.807,0.95629,1.00491,1.211,0.93116,0.88138,0.9443,0.82395,0.89145,0.71832,1.1005,0.00150197,0.00150197,0.00150197
7,180.713,0.92882,0.95885,1.1965,0.92798,0.88977,0.94736,0.8344,0.8369,0.68811,1.08054,0.00146896,0.00146896,0.00146896
8,205.976,0.89954,0.9316,1.18482,0.94101,0.89271,0.95122,0.83937,0.83755,0.67719,1.08468,0.00143595,0.00143595,0.00143595
9,230.672,0.88745,0.90489,1.17493,0.93363,0.90722,0.9546,0.84952,0.81077,0.63887,1.05644,0.00140295,0.00140295,0.00140295
10,255.728,0.88333,0.89053,1.16905,0.94223,0.89766,0.95606,0.84565,0.80014,0.6433,1.04614,0.00136994,0.00136994,0.00136994
11,281.167,0.86651,0.86688,1.1643,0.94105,0.91678,0.96223,0.85548,0.82905,0.59891,1.06733,0.00133693,0.00133693,0.00133693
12,305.857,0.86113,0.86108,1.16352,0.94278,0.9221,0.96035,0.85599,0.79016,0.62487,1.04887,0.00130393,0.00130393,0.00130393
13,330.857,0.85019,0.84142,1.15178,0.95347,0.91006,0.96186,0.86151,0.77229,0.58265,1.05595,0.00127092,0.00127092,0.00127092
14,355.91,0.83437,0.82887,1.1448,0.95251,0.91627,0.96468,0.86486,0.76879,0.56874,1.0376,0.00123791,0.00123791,0.00123791
15,380.959,0.82801,0.82233,1.14414,0.95268,0.92316,0.96854,0.87542,0.73549,0.56324,1.02007,0.00120491,0.00120491,0.00120491
16,406.46,0.81644,0.79675,1.14026,0.94204,0.93378,0.96829,0.87059,0.75999,0.54452,1.03061,0.0011719,0.0011719,0.0011719
17,431.957,0.81392,0.78636,1.1304,0.95755,0.91869,0.96457,0.86961,0.76883,0.55914,1.04371,0.00113889,0.00113889,0.00113889
18,457.443,0.80155,0.7753,1.12228,0.94302,0.92599,0.96859,0.8779,0.74719,0.54133,1.02744,0.00110589,0.00110589,0.00110589
19,483.305,0.80916,0.79029,1.13498,0.95685,0.92316,0.97078,0.87755,0.74425,0.53608,1.02425,0.00107288,0.00107288,0.00107288
20,508.839,0.79448,0.75729,1.12139,0.96183,0.92805,0.97487,0.88261,0.72971,0.51594,1.00867,0.00103987,0.00103987,0.00103987
21,534.708,0.78376,0.75187,1.1203,0.95084,0.93154,0.97167,0.87972,0.7225,0.52622,1.00573,0.00100687,0.00100687,0.00100687
22,560.354,0.78477,0.75806,1.11682,0.9509,0.9228,0.97081,0.88543,0.71934,0.52118,1.01132,0.000973861,0.000973861,0.000973861
23,584.766,0.78235,0.74592,1.11315,0.95695,0.9366,0.97413,0.88397,0.72682,0.4995,1.01162,0.000940855,0.000940855,0.000940855
24,610.165,0.76426,0.72913,1.10953,0.95622,0.93839,0.97745,0.89121,0.7049,0.49987,1.00455,0.000907848,0.000907848,0.000907848
25,635.41,0.75612,0.71599,1.10268,0.96225,0.93661,0.97661,0.88893,0.70766,0.49506,1.0046,0.000874842,0.000874842,0.000874842
26,660.895,0.75787,0.70881,1.10326,0.96252,0.93555,0.97897,0.89205,0.71065,0.47551,1.00842,0.000841835,0.000841835,0.000841835
27,685.481,0.75613,0.70567,1.1047,0.95356,0.94193,0.97934,0.89321,0.70495,0.46645,1.00913,0.000808828,0.000808828,0.000808828
28,711.114,0.74942,0.69975,1.09626,0.96882,0.93514,0.97969,0.89317,0.70256,0.47541,1.00057,0.000775822,0.000775822,0.000775822
29,736.168,0.75878,0.70454,1.10417,0.95676,0.94808,0.98027,0.89642,0.68392,0.46189,0.9985,0.000742815,0.000742815,0.000742815
30,760.984,0.73356,0.68062,1.08688,0.96212,0.94688,0.98069,0.89842,0.68315,0.45141,1.00097,0.000709809,0.000709809,0.000709809
31,786.421,0.73518,0.67691,1.08905,0.96468,0.94773,0.97979,0.89826,0.68035,0.46125,0.99051,0.000676802,0.000676802,0.000676802
32,812.054,0.73242,0.66567,1.08564,0.9759,0.9352,0.98051,0.89951,0.67373,0.46552,0.98337,0.000643795,0.000643795,0.000643795
33,837.973,0.73179,0.66172,1.08974,0.96889,0.9483,0.98123,0.89947,0.6804,0.45655,0.9894,0.000610789,0.000610789,0.000610789
34,863.509,0.71079,0.63868,1.07383,0.9676,0.94759,0.98179,0.90149,0.67577,0.44155,0.98083,0.000577782,0.000577782,0.000577782
35,888.74,0.73976,0.67463,1.0956,0.96132,0.95056,0.98247,0.90238,0.66771,0.44625,0.98359,0.000544776,0.000544776,0.000544776
36,914.052,0.70581,0.64332,1.07484,0.96544,0.94795,0.98304,0.90183,0.66553,0.43554,0.98136,0.000511769,0.000511769,0.000511769
37,938.941,0.71194,0.63526,1.07664,0.97136,0.94405,0.98179,0.90293,0.67161,0.44691,0.99203,0.000478762,0.000478762,0.000478762
38,964.118,0.69742,0.63096,1.06928,0.96812,0.95149,0.9835,0.90359,0.67133,0.42629,0.99312,0.000445756,0.000445756,0.000445756
39,989.41,0.71219,0.6329,1.07746,0.9699,0.94972,0.98354,0.90511,0.67266,0.43559,0.99579,0.000412749,0.000412749,0.000412749
40,1015.06,0.69756,0.62522,1.07302,0.97466,0.95343,0.98432,0.90683,0.65629,0.42707,0.98229,0.000379743,0.000379743,0.000379743
41,1041.66,0.73545,0.59181,1.09083,0.9682,0.95361,0.98291,0.90514,0.65735,0.41906,0.97751,0.000346736,0.000346736,0.000346736
42,1066.71,0.73317,0.57419,1.08577,0.96751,0.95946,0.98539,0.90982,0.64507,0.40396,0.97067,0.000313729,0.000313729,0.000313729
43,1092.4,0.71468,0.55983,1.07702,0.97129,0.95609,0.98544,0.90882,0.65069,0.40881,0.97716,0.000280723,0.000280723,0.000280723
44,1117.88,0.7144,0.55423,1.07836,0.97203,0.96005,0.98495,0.90848,0.65393,0.4096,0.97871,0.000247716,0.000247716,0.000247716
45,1143.3,0.71105,0.55236,1.0775,0.97366,0.95538,0.98572,0.91067,0.64547,0.40147,0.97652,0.00021471,0.00021471,0.00021471
46,1168.7,0.69707,0.53671,1.06721,0.97196,0.95752,0.98479,0.9097,0.64294,0.39785,0.97568,0.000181703,0.000181703,0.000181703
47,1193.86,0.69231,0.53081,1.06142,0.97379,0.96047,0.98512,0.91127,0.63454,0.3964,0.96884,0.000148696,0.000148696,0.000148696
48,1219.47,0.68303,0.52058,1.05909,0.97417,0.96147,0.98575,0.91096,0.64323,0.39775,0.97083,0.00011569,0.00011569,0.00011569
49,1244.84,0.68441,0.52441,1.05752,0.97144,0.96246,0.98587,0.91191,0.63725,0.39048,0.96848,8.26832e-05,8.26832e-05,8.26832e-05
50,1269.99,0.6731,0.51341,1.05283,0.97485,0.96077,0.9855,0.9127,0.63661,0.38884,0.96871,4.96766e-05,4.96766e-05,4.96766e-05
