epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,289.16,1.13257,1.78913,1.3165,0.88073,0.76841,0.87787,0.70608,0.93004,1.13889,1.16473,0.000554359,0.000554359,0.000554359
2,578.889,1.05988,1.23544,1.26331,0.87509,0.83322,0.90301,0.76347,0.89239,0.90017,1.11538,0.000890241,0.000890241,0.000890241
3,871.65,0.988,1.07988,1.22172,0.89549,0.88208,0.93632,0.79376,0.85324,0.72468,1.07077,0.00100608,0.00100608,0.00100608
4,1162.64,0.92826,0.98418,1.19883,0.93014,0.8966,0.94487,0.8249,0.7395,0.63786,1.02459,0.000676802,0.000676802,0.000676802
5,1451.79,0.85525,0.88422,1.15876,0.93137,0.91312,0.9605,0.85894,0.69926,0.55894,0.99925,0.000346736,0.000346736,0.000346736
