epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
17,719.408,0.82505,0.80024,1.13461,0.94527,0.92245,0.96605,0.86728,0.7899,0.5742,1.0489,0.00133693,0.00133693,0.00133693
18,761.606,0.81756,0.79274,1.13264,0.94678,0.9323,0.97011,0.8759,0.74403,0.55085,1.02471,0.0013163,0.0013163,0.0013163
19,805.029,0.81885,0.80345,1.13913,0.95238,0.92245,0.96938,0.87618,0.74148,0.54294,1.01826,0.00129568,0.00129568,0.00129568
20,846.142,0.80464,0.77569,1.12407,0.95303,0.92245,0.97182,0.87846,0.74799,0.53382,1.01155,0.00127505,0.00127505,0.00127505
21,889.763,0.80014,0.76804,1.12701,0.96408,0.91678,0.96977,0.87123,0.73867,0.55912,1.02031,0.00125442,0.00125442,0.00125442
22,931.09,0.80085,0.77317,1.12686,0.949,0.93626,0.97341,0.87876,0.75196,0.52935,1.02944,0.00123379,0.00123379,0.00123379
23,974.041,0.79452,0.75843,1.11757,0.95716,0.93272,0.97213,0.88457,0.72164,0.50654,1.00376,0.00121316,0.00121316,0.00121316
24,1014.68,0.7815,0.74814,1.11789,0.95568,0.93147,0.97692,0.88734,0.72215,0.5152,1.02103,0.00119253,0.00119253,0.00119253
25,1057.23,0.77493,0.74285,1.11161,0.95945,0.92387,0.97354,0.88692,0.72127,0.49987,1.01205,0.0011719,0.0011719,0.0011719
26,1100.04,0.77646,0.73649,1.11104,0.96664,0.93024,0.97629,0.88905,0.70885,0.49205,1.01088,0.00115127,0.00115127,0.00115127
27,1141.81,0.77813,0.73373,1.11601,0.96537,0.93626,0.97709,0.89076,0.71476,0.48143,1.0022,0.00113064,0.00113064,0.00113064
28,1185.92,0.77125,0.72919,1.10853,0.96315,0.92552,0.97618,0.88846,0.70629,0.49066,1.00059,0.00111001,0.00111001,0.00111001
29,1228.99,0.78273,0.73598,1.11851,0.96462,0.93653,0.97702,0.89191,0.71649,0.48408,1.01982,0.00108938,0.00108938,0.00108938
30,1271.89,0.75636,0.71205,1.10114,0.95937,0.94475,0.98045,0.89485,0.70145,0.45837,1.00374,0.00106876,0.00106876,0.00106876
31,1312.96,0.75474,0.70993,1.09878,0.9583,0.94476,0.97864,0.89192,0.73101,0.48152,1.0129,0.00104813,0.00104813,0.00104813
32,1355.95,0.75865,0.69647,1.09811,0.96603,0.93658,0.97693,0.89225,0.69553,0.47503,0.99324,0.0010275,0.0010275,0.0010275
33,1398.62,0.75448,0.69562,1.10072,0.96802,0.94323,0.97912,0.89418,0.6896,0.46939,0.9973,0.00100687,0.00100687,0.00100687
34,1440.39,0.73841,0.66708,1.08783,0.97328,0.94162,0.98208,0.89698,0.69316,0.44969,0.99137,0.000986239,0.000986239,0.000986239
35,1482.57,0.76131,0.70458,1.10603,0.97247,0.93826,0.98043,0.89758,0.67701,0.45534,0.98083,0.00096561,0.00096561,0.00096561
36,1525.78,0.7358,0.67929,1.0865,0.97606,0.93833,0.98156,0.89958,0.66508,0.44356,0.98512,0.000944981,0.000944981,0.000944981
37,1568.67,0.74264,0.67893,1.09193,0.96702,0.94476,0.98068,0.89804,0.69422,0.45806,1.00281,0.000924352,0.000924352,0.000924352
38,1610.21,0.72708,0.66144,1.08332,0.96816,0.94016,0.98088,0.90029,0.68695,0.43992,0.99353,0.000903722,0.000903722,0.000903722
39,1653.18,0.74281,0.6738,1.09159,0.96746,0.94756,0.98099,0.90126,0.67146,0.43058,0.98878,0.000883093,0.000883093,0.000883093
40,1695.49,0.73047,0.66883,1.08967,0.97246,0.94441,0.98054,0.90078,0.66578,0.43643,0.99338,0.000862464,0.000862464,0.000862464
41,1739.93,0.72335,0.65922,1.08674,0.96932,0.94865,0.9826,0.90193,0.67484,0.43004,0.99204,0.000841835,0.000841835,0.000841835
42,1783.17,0.71384,0.64773,1.07681,0.97248,0.95088,0.98198,0.90153,0.67769,0.42261,0.99766,0.000821206,0.000821206,0.000821206
43,1823.72,0.73003,0.65776,1.08572,0.96831,0.94688,0.98039,0.90238,0.67878,0.43934,0.9923,0.000800577,0.000800577,0.000800577
44,1866.01,0.72489,0.65193,1.08598,0.97034,0.94986,0.98329,0.90382,0.67433,0.42531,0.99862,0.000779948,0.000779948,0.000779948
45,1908.23,0.72305,0.63865,1.08111,0.9725,0.93927,0.9811,0.90372,0.66219,0.43907,0.99075,0.000759318,0.000759318,0.000759318
46,1950.34,0.71195,0.6294,1.07253,0.97235,0.94724,0.98336,0.90522,0.66467,0.42611,0.98626,0.000738689,0.000738689,0.000738689
47,1994.11,0.70662,0.63243,1.0746,0.97231,0.94483,0.98161,0.90478,0.65925,0.41125,0.98889,0.00071806,0.00071806,0.00071806
48,2036.69,0.70715,0.62236,1.0704,0.97106,0.95051,0.98453,0.90708,0.65579,0.40379,0.9831,0.000697431,0.000697431,0.000697431
49,2080.11,0.70219,0.62045,1.06902,0.96928,0.9568,0.98415,0.90935,0.64658,0.41203,0.9763,0.000676802,0.000676802,0.000676802
50,2123.15,0.6835,0.60913,1.05837,0.96532,0.95467,0.98483,0.90825,0.65029,0.41808,0.98004,0.000656173,0.000656173,0.000656173
51,2162.53,0.68985,0.60816,1.06486,0.96978,0.95453,0.98111,0.90739,0.64627,0.40313,0.98469,0.000635544,0.000635544,0.000635544
52,2204.55,0.6788,0.59821,1.05727,0.97462,0.95195,0.98404,0.90822,0.64493,0.40772,0.97723,0.000614915,0.000614915,0.000614915
53,2246.5,0.68207,0.5964,1.0562,0.9691,0.95508,0.98283,0.90918,0.64093,0.39892,0.982,0.000594286,0.000594286,0.000594286
54,2289.5,0.691,0.60108,1.06245,0.97507,0.95562,0.9851,0.90979,0.64447,0.39774,0.97813,0.000573656,0.000573656,0.000573656
55,2329.68,0.68043,0.59307,1.05745,0.97324,0.95295,0.98324,0.90989,0.64291,0.39934,0.97764,0.000553027,0.000553027,0.000553027
56,2371.23,0.6834,0.59507,1.05854,0.97092,0.95762,0.98567,0.91146,0.63327,0.39977,0.97556,0.000532398,0.000532398,0.000532398
57,2412.53,0.69174,0.59892,1.06328,0.97537,0.95346,0.98435,0.91011,0.63803,0.39957,0.97791,0.000511769,0.000511769,0.000511769
58,2453.57,0.6846,0.58998,1.05874,0.97053,0.95625,0.98614,0.91277,0.63341,0.3918,0.97448,0.00049114,0.00049114,0.00049114
59,2497.39,0.6712,0.57756,1.05102,0.97428,0.95326,0.98546,0.915,0.63249,0.39066,0.97312,0.000470511,0.000470511,0.000470511
60,2540.76,0.66428,0.57489,1.0496,0.97596,0.94865,0.98446,0.91175,0.63556,0.38819,0.98042,0.000449882,0.000449882,0.000449882
61,2584.2,0.67103,0.5734,1.05122,0.97403,0.95619,0.98525,0.91309,0.64138,0.39086,0.98226,0.000429253,0.000429253,0.000429253
62,2626.49,0.6716,0.5717,1.05093,0.97338,0.95113,0.98252,0.9127,0.64062,0.40163,0.98248,0.000408623,0.000408623,0.000408623
63,2668.68,0.67772,0.57659,1.0512,0.97289,0.95309,0.98342,0.91299,0.63497,0.40213,0.97883,0.000387994,0.000387994,0.000387994
64,2710.26,0.665,0.57005,1.04797,0.97055,0.95692,0.98396,0.9125,0.6373,0.39331,0.98025,0.000367365,0.000367365,0.000367365
65,2752.54,0.6484,0.55492,1.03767,0.97582,0.95741,0.98454,0.91361,0.64003,0.37935,0.98645,0.000346736,0.000346736,0.000346736
66,2795.12,0.6548,0.55392,1.03969,0.972,0.95882,0.98461,0.91393,0.62915,0.38342,0.97598,0.000326107,0.000326107,0.000326107
67,2839.26,0.64749,0.54525,1.03555,0.97668,0.95751,0.98429,0.91236,0.6347,0.38543,0.9813,0.000305478,0.000305478,0.000305478
68,2881.07,0.65445,0.55263,1.03744,0.97412,0.95975,0.98386,0.91387,0.6354,0.37925,0.98173,0.000284849,0.000284849,0.000284849
69,2924.38,0.64751,0.55205,1.04088,0.96931,0.9614,0.98434,0.91469,0.62933,0.38135,0.97745,0.00026422,0.00026422,0.00026422
70,2967.59,0.64871,0.54661,1.03816,0.97256,0.96069,0.98498,0.91571,0.6285,0.38087,0.97844,0.00024359,0.00024359,0.00024359
71,3010.62,0.67411,0.50334,1.05053,0.97266,0.95738,0.9828,0.91396,0.63002,0.38076,0.97536,0.000222961,0.000222961,0.000222961
72,3052.95,0.67013,0.49779,1.04766,0.9727,0.95888,0.98332,0.91471,0.62883,0.3781,0.97727,0.000202332,0.000202332,0.000202332
73,3095.31,0.66457,0.49349,1.04341,0.97162,0.96069,0.98607,0.91636,0.62534,0.37209,0.97325,0.000181703,0.000181703,0.000181703
74,3136.9,0.65639,0.48463,1.04005,0.97249,0.95751,0.9847,0.91703,0.62022,0.37527,0.97458,0.000161074,0.000161074,0.000161074
75,3177.44,0.65347,0.48193,1.03796,0.96967,0.96105,0.9848,0.9183,0.6201,0.37002,0.97601,0.000140445,0.000140445,0.000140445
76,3218.75,0.64916,0.47534,1.03624,0.97174,0.96184,0.98565,0.91706,0.62236,0.36636,0.97487,0.000119816,0.000119816,0.000119816
77,3260.8,0.64408,0.46738,1.03111,0.9677,0.96353,0.98499,0.91693,0.62317,0.36585,0.97303,9.91865e-05,9.91865e-05,9.91865e-05
78,3301.21,0.63847,0.46853,1.03118,0.9683,0.96278,0.98584,0.91675,0.61801,0.36541,0.97172,7.85574e-05,7.85574e-05,7.85574e-05
79,3343.69,0.63879,0.46292,1.03172,0.97068,0.96137,0.98534,0.91784,0.61746,0.36564,0.97315,5.79283e-05,5.79283e-05,5.79283e-05
80,3383.98,0.63975,0.46948,1.02976,0.97308,0.95991,0.98509,0.91771,0.61738,0.36582,0.97534,3.72991e-05,3.72991e-05,3.72991e-05
