epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.0616,1.1279,1.77247,1.30976,0.84331,0.78902,0.87745,0.70761,1.04271,1.19791,1.1909,0.000554359,0.000554359,0.000554359
2,85.7285,1.09503,1.28036,1.28695,0.90786,0.77479,0.87627,0.71564,1.11985,1.11129,1.25003,0.00109629,0.00109629,0.00109629
3,127.509,1.06476,1.17095,1.27576,0.91038,0.83455,0.90992,0.74722,1.0844,0.87493,1.22841,0.00162447,0.00162447,0.00162447
4,170.197,1.02313,1.1039,1.25486,0.90887,0.86013,0.91847,0.78025,0.96502,0.89064,1.16693,0.00160511,0.00160511,0.00160511
5,213.576,0.98567,1.05367,1.2298,0.91427,0.85305,0.92823,0.78384,0.97213,0.80581,1.14838,0.00158448,0.00158448,0.00158448
6,254.025,0.96135,1.00744,1.21229,0.90105,0.88999,0.93465,0.80939,0.89908,0.74558,1.12975,0.00156385,0.00156385,0.00156385
7,295.863,0.93279,0.95691,1.20016,0.93091,0.87792,0.93513,0.81976,0.84345,0.72862,1.09501,0.00154323,0.00154323,0.00154323
8,337.112,0.90667,0.93792,1.1839,0.93596,0.88456,0.94504,0.83003,0.84767,0.67578,1.08952,0.0015226,0.0015226,0.0015226
9,380.043,0.89619,0.91067,1.17631,0.93874,0.9008,0.95447,0.84593,0.8594,0.66544,1.08295,0.00150197,0.00150197,0.00150197
10,421.761,0.89001,0.89466,1.16792,0.93115,0.90036,0.95695,0.85009,0.80659,0.61951,1.04863,0.00148134,0.00148134,0.00148134
11,465.979,0.86494,0.86838,1.16272,0.93021,0.91997,0.9599,0.8493,0.83808,0.61508,1.07285,0.00146071,0.00146071,0.00146071
12,509.126,0.86831,0.87141,1.16684,0.9402,0.90744,0.96078,0.8535,0.79508,0.61892,1.06621,0.00144008,0.00144008,0.00144008
13,551.252,0.85888,0.84704,1.15215,0.94809,0.90551,0.95667,0.85364,0.81058,0.6074,1.07549,0.00141945,0.00141945,0.00141945
14,593.01,0.84457,0.83963,1.15066,0.93787,0.91678,0.96136,0.86412,0.77599,0.57813,1.04804,0.00139882,0.00139882,0.00139882
15,635.223,0.83524,0.82699,1.1472,0.94457,0.91723,0.96122,0.86607,0.76161,0.61224,1.0431,0.00137819,0.00137819,0.00137819
16,677.03,0.82369,0.8138,1.14315,0.94868,0.92294,0.96528,0.86868,0.77799,0.55671,1.03512,0.00135756,0.00135756,0.00135756
